"","week_num","product_analytic_sub_category","total_gmv","total_units","no_of_orders","total_payment_cod","total_payment_prepaid","avg_sla","avg_product_mrp","avg_product_procurement_sla","avg_discount","avg_unitPrice","Total.Investment","TV","Digital","Sponsorship","Content.Marketing","Online.marketing","Affiliates","SEM","Radio","Other","spl_days","NPS"
"43",16,"GamingAccessory",6737182.00559182,10748,10360,8192,2168,5.31727799227799,5045.90704633205,3.77480694980695,54.2275685328185,637.026801625656,38.4322580645161,1.37741935483871,2.84516129032258,19.1258064516129,0.767741935483871,5.50967741935484,1.58064516129032,7.20322580645161,0,0,3,10.0258064516129
"44",16,"HomeAudio",19518799,8141,8064,6050,2014,5.97085813492064,4633.75768849206,2.37921626984127,41.5558172123016,2403.31634424603,38.4322580645161,1.37741935483871,2.84516129032258,19.1258064516129,0.767741935483871,5.50967741935484,1.58064516129032,7.20322580645161,0,0,3,10.0258064516129
"45",17,"CameraAccessory",4451053.00106224,3952,3804,2976,828,6.67297581493165,2065.7063617245,3.08517350157729,45.7787828601472,1149.21161944114,38.4322580645161,1.37741935483871,2.84516129032258,19.1258064516129,0.767741935483871,5.50967741935484,1.58064516129032,7.20322580645161,0,0,0,10.0258064516129
"46",17,"GamingAccessory",2219492.46197879,2794,2712,2258,454,6.2179203539823,1690.33960176991,2.70390855457227,41.6502212389381,800.3620547182,38.4322580645161,1.37741935483871,2.84516129032258,19.1258064516129,0.767741935483871,5.50967741935484,1.58064516129032,7.20322580645161,0,0,0,10.0258064516129
"47",17,"HomeAudio",5752737,2491,2456,1997,459,6.67956026058632,3954.88762214984,2.64169381107492,35.2466815960912,2317.71376221498,38.4322580645161,1.37741935483871,2.84516129032258,19.1258064516129,0.767741935483871,5.50967741935484,1.58064516129032,7.20322580645161,0,0,0,10.0258064516129
"48",18,"CameraAccessory",4963028.50044435,4216,4102,3172,930,6.77474402730375,2242.99414919551,2.83764017552413,45.9562018527548,1189.09483182548,27.0812903225806,1.20709677419355,1.7558064516129,12.3490322580645,0.458709677419355,5.10838709677419,1.56322580645161,4.63612903225807,0,0,0,10.4290322580645
"49",18,"GamingAccessory",2433884,3333,3198,2676,522,6.02626641651032,1747.73452157598,2.5,43.6722795497186,725.990056285178,27.0812903225806,1.20709677419355,1.7558064516129,12.3490322580645,0.458709677419355,5.10838709677419,1.56322580645161,4.63612903225807,0,0,0,10.4290322580645
"50",18,"HomeAudio",5970877,2839,2803,2302,501,6.48305387085266,3541.3428469497,2.56617909382804,34.5042347484838,2113.02069211559,27.0812903225806,1.20709677419355,1.7558064516129,12.3490322580645,0.458709677419355,5.10838709677419,1.56322580645161,4.63612903225807,0,0,0,10.4290322580645
"51",19,"CameraAccessory",6360472.00054277,5199,5062,3905,1157,6.21019359936784,2305.42216515211,2.93717898064006,48.1453180561043,1242.58060066037,11.9466666666667,0.98,0.303333333333333,3.31333333333333,0.0466666666666667,4.57333333333333,1.54,1.21333333333333,0,0,4,10.9666666666667
"52",19,"GamingAccessory",3272635.00115118,4414,4207,3423,784,5.29260755883052,1611.35607321131,2.720703589256,46.2157760874733,751.057927355295,11.9466666666667,0.98,0.303333333333333,3.31333333333333,0.0466666666666667,4.57333333333333,1.54,1.21333333333333,0,0,4,10.9666666666667
"53",19,"HomeAudio",8110552.80000603,3678,3642,2959,683,5.02388797364086,4605.6164195497,2.84980779791323,43.9737397034596,2209.05372872148,11.9466666666667,0.98,0.303333333333333,3.31333333333333,0.0466666666666667,4.57333333333333,1.54,1.21333333333333,0,0,4,10.9666666666667
"54",20,"CameraAccessory",4062820,3655,3573,2727,846,6.68709767702211,2140.67422334173,2.8869297509096,45.9966778617408,1126.65519171565,11.9466666666667,0.98,0.303333333333333,3.31333333333333,0.0466666666666667,4.57333333333333,1.54,1.21333333333333,0,0,5,10.9666666666667
